SPY
QQQ
DIA
IWM
MMM
AXP
AAPL
BA
CAT
CVX
CSCO
KO
DIS
DOW
XOM
GS
HD
IBM
INTC
JNJ
JPM
MCD
MRK
MSFT
NKE
PFE
PG
TRV
UTX
UNH
VZ
V
WMT
WBA
XLC
XLY
XLP
XLE
XLF
XLV
XLI
XLB
XLRE
XLK
XLU
EWJ
FXI
EWZ
EWT
EWG
EWH
EWI
EWW
EWU
EWY
EWA
EWM
EWS
EWC
EWP
EWL
EZA
AMZN
MSFT
FB
NFLX
NVDA
TSLA
USO
GLD
SLV
BNO
UNG
DBA
